Project Title,Source,Relevant Links,Project Description
Californians Fighting Against COVID-19 Together (CA-Facts),Stanford," https://med.stanford.edu/profiles/jason-andrews 
https://profiles.stanford.edu/julie-parsonnet 
https://profiles.stanford.edu/scott-boyd 
https://profiles.stanford.edu/lorene-nelson 
https://med.stanford.edu/profiles/julie-parsonnet 
https://profiles.stanford.edu/jason-andrews 
https://med.stanford.edu/profiles/lorene-nelson ","Parsonnet, Andrews, Boyd and Nelson are testing a random sample of 12,000 people in Solano and Santa Clara counties for COVID-19 antibodies. Subjects are mailed at-home test kits integrating a simple finger-stick blood test with smartphone-based applications that anonymously collect economic, clinical and demographic information and provide information back to the subject."
Validation of specimen self-collection vs. collection by health care worker for COVID-19 testing,Stanford," https://med.stanford.edu/profiles/andra-blomkalns 
https://med.stanford.edu/profiles/prasanthi-govindarajan 
https://med.stanford.edu/profiles/yvonne-maldonado 
https://profiles.stanford.edu/yvonne-maldonado ","Maldonado, Altamirano, Govindarajan and Blomkalns are investigating three swab techniques used during COVID-19 testing: a self-collected nasal swab performed with the aid of an instruction sheet; a health care worker-collected nasal swab; and a health care worker-collected oropharyngeal swab. Should self-collected nasal swabs prove as effective as those collected by health care workers, patients may be able to safely and effectively collect specimens outside of health care settings."
Lung function in people infected with SARS-CoV-2,Stanford, https://profiles.stanford.edu/carlos-milla?tab=research-and-scholarship ,"Milla and his team are evaluating whether improvements they’ve made in a lung function test can more successfully and safely identify subjects at high risk of severe COVID-19 disease, even when disease is in its early, asymptomatic stage. Standard tests involve inhaling deeply and quickly exhaling as much air as possible. The Milla lab’s improvements allow subjects to simply breathe passively for a few seconds through a mouthpiece. This not only makes the test feasible for sick subjects but also minimizes the generation of aerosols. "
Tracking COVID-19 with wearables,Stanford," https://med.stanford.edu/profiles/michael-snyder 
https://med.stanford.edu/profiles/megan-mahoney 
https://med.stanford.edu/profiles/60982 ",Snyder and his team will track biological parameters of individuals who are ill with COVID-19 or at risk for the disease using a smart watch. Their goal is to determine whether they can tell if the smart watch user is becoming ill based on measurements such as heart rate.
Development and validation of molecular viability assays for SARS-CoV-2,Stanford," https://med.stanford.edu/profiles/jason-andrews 
https://med.stanford.edu/profiles/yvonne-maldonado 
https://profiles.stanford.edu/yvonne-maldonado 
https://profiles.stanford.edu/jason-andrews ","A key factor in the transmissibility of COVID-19 is a high level of virus shedding in the upper respiratory tract. Viral RNA can be detected for several weeks after the patient has recovered from disease and it is widely assumed that this genetic material is no longer infectious. The standard test for infection with SARS-CoV-2, RT-PCR, cannot discriminate between infectious and non-infectious SARS-CoV-2 RNA. Andrews, Maldonado and team are developing and validating an assay to distinguish between infectious virus from non-infectious shedding."
Repurposing snorkel masks for personal protective equipment,Stanford," https://abslab.sites.stanford.edu/ 
https://med.stanford.edu/profiles/manu-prakash ","Prakash and his lab are repurposing full-face snorkel masks as reusable personal protective equipment for healthcare workers to help combat the shortage of personal protective equipment in hospitals. To ensure protection against airborne pathogens, the group is 3D-printing N95 filter attachments that are fitted to the snorkel masks. The prototypes are currently being tested in the three clinics currently."
Novel aerosol capture tools for understanding COVID-19 infectiousness,Stanford," https://med.stanford.edu/profiles/jason-andrews 
https://profiles.stanford.edu/jason-andrews ","Andrews’ group is developing and validating tools to capture airborne biological particles and characterize infectiousness, with the goals of understanding predictors and determinants of infectiousness and potentially monitoring environments for presence of SARS-CoV-2."
Oral favipiravir compared to placebo in subjects with mild COVID-19,Stanford," https://med.stanford.edu/profiles/aruna-subramanian 
https://stanfordhealthcare.org/doctors/s/aruna-subramanian.html 
https://med.stanford.edu/profiles/yvonne-maldonado 
https://profiles.stanford.edu/yvonne-maldonado 
https://profiles.stanford.edu/marisa-holubar ","Stanford epidemiologists are conducting a clinical trial to see if the antiviral drug favipiravir prevents SARS-CoV-2 from replicating in human cells, halts the shedding of the virus and reduces the severity of infection in people with mild or asymptomatic COVID-19. They plan to enroll 120 people who have been recently diagnosed with COVID-19 and are not in the hospital. Participants will receive either favipiravir, which is used to treat influenza in Japan, or a placebo."
Evaluating the potency and durability of slow-delivery SARS-CoV-2 vaccines via a hydrogel,Stanford," https://med.stanford.edu/profiles/eric-appel 
https://med.stanford.edu/profiles/lingyin-li ","The Appel lab is exploring vaccination strategies that make use of a hydrogel that allows sustained, controlled release of small molecules over a period of weeks. In studies in mice, they are testing the ability of this gel, developed in the Appel lab, to slowly release experimental vaccines against SARS-CoV-2 as well as cGAMP molecules, which research has shown can boost a vaccine’s potency. The study will also assess the potency of the vaccines when delivered in this way."
Clinical trial of remdesivir in hospitalized adults with COVID-19,Stanford," https://profiles.stanford.edu/neera-ahuja 
https://med.stanford.edu/profiles/kari-nadeau 
https://profiles.stanford.edu/kari-nadeau 
https://med.stanford.edu/profiles/neera-ahuja ","Nadeau and Ahuja are conducting a randomized, double-blind, placebo-controlled phase 2 trial to evaluate the safety and efficacy of the Ebola drug remdesivir in hospitalized adult patients diagnosed with COVID-19. The study is sponsored by the National Institutes of Health and is a multicenter trial that will be conducted at as many as 50 sites globally."
