Project Title,Type of Research,Project Description,Relevant Links,Key Words
Agency for International Development (USAID),,Partners may submit unsolicited proposals to COVID19_Concepts@usaid.gov.,https://www.usaid.gov/coronavirus/funding-requests-unsolicited-proposals,Technology and Computer Science
Biomedical Advanced Research and Development Authority (BARDA),,"The due date was extended to 10/31/2020.
COVID-19 response related Areas of Interest includes: AOI 7.7.1 Diagnostic assay for human coronavirus using existing FDA-cleared platforms AOI 7.7.2 Point-of-care diagnostic assay for detection of SARS-CoV-2 virus AOI 7.7.3 Diagnostic assay for detection of COVID-19 disease (SARS-CoV-2 infection) AOI 8.3 COVID-19 Vaccine AOI 9.2 COVID-19 Therapeutics AOI 9.3 Immunomodulators or therapeutics targeting lung repair AOI 9.5 Pre-exposure and post-exposure prophylaxis AOI 10 Respiratory protective devices AOI 11 Ventilators AOI 17 Advanced Manufacturing Technologies",https://beta.sam.gov/opp/7c72ff2e5c514b2faa15765e78294128/view#general,Technology and Computer Science
Department of Defence (DOD) Defense Advanced Research Projects Agency (DARPA) Biological Technologies Office (BTO),,"Proposal Abstract Due Date and Time: Abstracts may be submitted on a rolling basis until 4:00 PM ET, April 22, 2021. Full Proposal Due Date and Time: Proposals may be submitted on a rolling basis until 4:00 PM ET, April 22, 2021.
BTO is interested in submissions related to the following areas: - Discovering and leveraging novel findings from biotechnology, biochemistry, molecular biology, neuroscience, psychology, cognitive science, and related disciplines to advance treatment and resilience in neurological health, transformative neural processing, and optimize human performance. - Understanding and improving interfaces between the biological and physical world to enable seamless hybrid systems and revolutionary new human-machine interfaces. - Designing novel materials, sensors, or processes that mimic or are inspired by biological systems. - Leveraging and translating a biological system’s underlying design rules, functional processes, and/or means of interactivity to provide insight into or control over complex biological systems from biofilms to organs. - Developing new tools and capabilities for forward engineering of biological systems, such as cells, tissues, organs, organisms, and complex communities, to both develop new products and functional systems, as well as to gain new insights into underlying mechanisms. There are many more areas of interest listed in the guidelines.",https://beta.sam.gov/opp/4efd37762ed0475d871af927279f010d/view,Technology and Computer Science
Department of Homeland Security (DHS),,"The COVID-19 pandemic has had an impact on many facets of DHS operations as well as the health and safety of agents, officers and the public.  While this SVIP COVID-19 Response & Future Mitigation Topic Call is intended to address several near-term use cases in response to the current pandemic, it is envisioned these solutions will have broader application to enhancing DHS operations as well as prepare DHS for any future mitigation. As DHS, state and local agencies, private industry and the public respond to the impacts of the COVID-19 pandemic and eventually resume operations safely within the context of a COVID-19 environment, there exists the need for solutions for a variety of purposes across DHS as well as our state and local and other Federal partners. The following illustrative scenarios / use cases are intended to describe where the technologies being sought by DHS in this topic call could potentially be applied: (1) Test and Validation Service for Security & Privacy of Contact Tracing Apps (2) Video Analytics for Self-Screening at TSA Checkpoints (3) Methods to Rapidly Disinfect Surfaces at TSA Checkpoints and other DHS Facilities (4) Collection and Integration of Authoritative Quantitative Open-Source Information (5) Stand-Off Methods for Point of Care Entry Detection at DHS Facilities.",https://beta.sam.gov/opp/01cbeafa8c0e47428ddd30693b4c47d6/view?keywords=%22Emerging%20Needs%22&sort=-relevance&index=&is_active=true&page=1&date_filter_index=0&inactive_filter_values=false&organization_id=100013095&refresh=y,Technology and Computer Science
Economic Development Administration (EDA),,"There are no submission deadlines under this opportunity. Applications will be accepted on an ongoing basis until the publication of a new PWEAA NOFO.
Under this NOFO, EDA solicits applications from applicants in rural and urban areas to provide investments that support construction, non-construction, technical assistance, and revolving loan fund projects under EDA’s Public Works and EAA programs. Grants and cooperative agreements made under these programs are designed to leverage existing regional assets and support the implementation of economic development strategies that advance new ideas and creative approaches to advance economic prosperity in distressed communities. EDA provides strategic investments on a competitive- merit-basis to support economic development, foster job creation, and attract private investment in economically distressed areas of the United States. If you are interested in applying for a project of national impact/scope under the CARES Act; please inquire at RNTA@eda.gov.",https://www.grants.gov/web/grants/view-opportunity.html?oppId=321695,Other
FastGrants,,"The review starts on 4/12/2020, but FastGrants will continue to review applications after that date.
If you are a scientist at an academic institution currently working on a COVID-19 related project and in need of funding, we invite you to apply for a Fast Grant. Fast Grants are $10k to $500k and decisions are made in under 48 hours. If we approve the grant, you'll receive payment as quickly as your university can receive it.",https://fastgrants.org/,Technology and Computer Science
"Gilead Sciences, Inc.",,"Mandatory letter of intent (LOI) due August 3, 2020. June 8th. After Aug 3, 2020, Gilead will evaluate and rank all LOIs. Top ranked LOIs will be invited to submit a full application and additional instructions will be provided to the submitter.
In an effort to further address the unmet medical need in COVID-19, Gilead Medical Affairs is launching the COMMIT program. The COMMIT program will support well defined individual projects of no more than $250,000 USD or equivalent sum; projects that are more than $250,000 will require approval by Gilead prior to submission. Successful projects should demonstrate clear objectives, defined timelines, a comprehensive operational plan, and propose data that has relevance to the medical community. Note: these projects will not have objectives/endpoints that overlap with studies that are known to be currently underway as of the day of the approval of the proposal, including those studies that are sponsored by either Gilead and/or third parties. See guidelines for research criteria.",https://www.gilead.com/science-and-medicine/research/investigator-sponsored-research/covid19-commit-rfp,Technology and Computer Science
Kaggle,,"The White House and a coalition of leading research groups have prepared the COVID-19 Open Research Dataset (CORD-19). CORD-19 is a resource of over 45,000 scholarly articles, including over 33,000 with full text, about COVID-19, SARS-CoV-2, and related coronaviruses. Develop text and data mining tools that can help the medical community develop answers to high priority scientific questions. The CORD-19 dataset represents the most extensive machine-readable coronavirus literature collection available for data mining to date.",https://www.kaggle.com/allen-institute-for-ai/CORD-19-research-challenge,Technology and Computer Science
NIH - National Cancer Institute (NCI),,"Applications will be accepted on a rolling basis from July 6, 2020, through August 14, 2020.
Through this Notice of Special Interest (NOSI), the National Cancer Institute (NCI) announces an opportunity for current NCI funded Principal Investigators whose postdoctoral fellows have temporarily lost stipend support from a non-profit funder because of the COVID-19 global pandemic may apply for an administrative supplement to cover the postdoctoral fellow’s salary plus applicable F&A for the time and effort devoted to the NCI funded grant.",https://grants.nih.gov/grants/guide/notice-files/NOT-CA-20-082.html,Technology and Computer Science
NIH - National Center for Advancing Translational Sciences (NCATS),,"Applications will be accepted on a rolling basis from May 15, 2020 to January 25, 2022.
National Center for Advancing Translational Sciences (NCATS) will accept the submission of applications for Competitive Revisions to active grants to address only the following research areas of interest: 1) Incorporation of new and emerging data related to SARS-CoV-2 into ongoing research efforts to develop microphysiological systems/tissue chips models for COVID-19, 2) Use of microphysiological systems/tissue chips or evaluating, repurposing or modification of diagnostic tools to enable rapid detection of COVID-19 infection, 3) Use of microphysiological systems/tissue chips for the rapid development and assessment of potential therapeutic agents for COVID-19.",https://grants.nih.gov/grants/guide/notice-files/NOT-TR-20-017.html,Technology and Computer Science
